index,project,noOfBedRoom,propertyType,district,rent,mean_areaSqft,lat,long,rentCategory
782,GALLOP COURT,3,Private Condominium,10.0,10203.333333333334,1916.6666666666667,1.3143015069912536,103.81217015226532,Extreme
788,GAMBIR RIDGE,3,Private Condominium,19.0,3800.0,950.0,1.344630819907828,103.87590617489845,Low
789,GARDEN PARK RESIDENCES,3,Private Condominium,15.0,3800.0,850.0,1.31071966113517,103.90999011449507,Low
790,GARDENVILLE,3,Private Condominium,10.0,7800.0,2350.0,1.3123780708384414,103.82737974374017,Extreme
792,GARDENVISTA,3,Private Condominium,21.0,5516.666666666667,1150.0,1.3380062500926724,103.78056440174473,High
796,GEM RESIDENCES,3,Private Condominium,12.0,5400.0,1010.0,1.339271556791911,103.85115238842404,High
797,GEYLANG HERITAGE,3,Private Condominium,14.0,4400.0,1250.0,1.3128394384567996,103.88773277876103,Average
799,GILSTEAD COURT,3,Private Condominium,11.0,4000.0,1350.0,1.318656461383629,103.83987371293988,Low
800,GILSTEAD MANSION,3,Private Condominium,11.0,5000.0,1550.0,1.319561682695084,103.84048033690662,Average
805,GLENDALE PARK,3,Private Condominium,23.0,5185.714285714285,1335.7142857142858,1.3626034292735396,103.76531171363898,Average
807,GLENTREES,3,Private Condominium,10.0,8300.0,1950.0,1.3165214177022857,103.78539012906788,Extreme
810,GLOBAL VILLE,3,Private Condominium,12.0,4100.0,1150.0,1.3274328170316825,103.84252469732758,Low
811,GLOUCESTER MANSIONS,3,Private Condominium,11.0,4650.0,1150.0,1.313612672426787,103.8404635066598,Average
813,GOLD COAST CONDOMINIUM,3,Private Condominium,5.0,6250.0,1650.0,1.2906350406383071,103.77467702852624,High
815,GOLD PALM MANSIONS,3,Private Condominium,15.0,4400.0,1150.0,1.3141581881626796,103.91512405899395,Average
816,GOLDEN HEIGHTS,3,Private Condominium,19.0,4700.0,1550.0,1.3495316456732518,103.86601358052836,Average
818,GOLDENHILL PARK CONDOMINIUM,3,Private Condominium,20.0,5753.571428571428,1385.7142857142858,1.3529562908986146,103.86222266463687,High
820,GOODWOOD GARDENS,3,Private Condominium,10.0,8500.0,1850.0,1.314578227871974,103.83412693208648,Extreme
823,GOODWOOD RESIDENCE,3,Private Condominium,10.0,14000.0,1950.0,1.3150504206667903,103.8355712480741,Extreme
825,GRACIOUS MANSIONS,3,Private Condominium,15.0,5381.0,1750.0,1.3063763622084197,103.912411828569,High
828,GRAMERCY PARK,3,Private Condominium,10.0,14250.0,2100.0,1.2986973054724096,103.8267396831537,Extreme
829,GRAND CHATEAU,3,Private Condominium,21.0,3375.0,1150.0,1.3439355976935838,103.76866598895704,Low
830,GRAND DUCHESS AT ST PATRICK'S,3,Private Condominium,15.0,6166.666666666667,1450.0,1.3073065155242594,103.91611055775384,High
832,GRAND REGALIA,3,Private Condominium,19.0,7000.0,2350.0,1.3569895877085698,103.8810013821476,Extreme
834,GRAND REGENCY,3,Private Condominium,21.0,4800.0,1150.0,1.3432365308891796,103.76893419559336,Average
835,GRANDE VISTA,3,Private Condominium,28.0,4000.0,1450.0,1.3883487910079404,103.8513672672678,Low
838,GRANDEUR 8,3,Private Condominium,20.0,4514.285714285715,1278.5714285714287,1.3765152696751235,103.8467860989892,Average
842,GRANDEUR PARK RESIDENCES,3,Private Condominium,16.0,5720.0,910.0,1.3248220702509956,103.94489293962737,High
843,GRANDLINK SQUARE,3,Private Condominium,14.0,3766.6666666666665,1150.0,1.31423786264669,103.89157937446984,Low
