project,noOfBedRoom,rental_rent,mean_areaSqft
ORCHID PARK CONDOMINIUM,2,3500.0,883.3333333333334
ORCHID PARK CONDOMINIUM,3,3900.0,1150.0
ORCHID PARK CONDOMINIUM,4,4800.0,1700.0
ORION,3,8600.0,1550.0
OUE TWIN PEAKS,1,4784.615384615385,550.0
OUE TWIN PEAKS,2,8300.0,1050.0
OUE TWIN PEAKS,3,11500.0,1350.0
OXLEY EDGE,2,3700.0,350.0
OXLEY EDGE,3,4500.0,1150.0
OXLEY MANSION,3,4293.333333333333,950.0
OXLEY RESIDENCE,4,15300.0,2550.0
PALAZZETTO,2,3450.0,850.0
PALM GARDENS,3,4283.333333333333,1483.3333333333333
PALM GARDENS,4,4600.0,1450.0
PALM GREEN,2,4200.0,1250.0
PALM GREEN,3,4600.0,1250.0
PALM GROVE CONDOMINIUM,3,5066.666666666667,1783.3333333333333
PALM HAVEN,2,4000.0,1050.0
PALM ISLES,1,2825.0,550.0
PALM ISLES,2,3700.0,850.0
PALM ISLES,3,4300.0,1050.0
PALM OASIS,2,4100.0,750.0
PALM SPRING,3,7975.0,1725.0
PALM VISTA,3,4000.0,1050.0
PALMERA EAST,1,2500.0,450.0
PALMERA EAST,2,2600.0,650.0
PANDAN VALLEY,2,4800.0,1650.0
PANDAN VALLEY,3,5800.0,1950.0
PANDAN VALLEY,4,7300.0,2250.0
PARADISE PALMS,3,4500.0,1150.0
PARC BOTANNIA,1,3083.3333333333335,516.6666666666666
PARC BOTANNIA,2,3575.0,625.0
PARC BOTANNIA,3,4200.0,850.0
PARC CENTROS,1,2966.6666666666665,450.0
PARC CENTROS,2,3750.0,750.0
PARC CENTROS,3,4335.714285714285,1135.7142857142858
PARC ELEGANCE,1,3000.0,450.0
PARC ELEGANCE,3,4200.0,950.0
PARC EMILY,1,3508.3333333333335,583.3333333333334
PARC EMILY,2,5200.0,1025.0
PARC EMILY,3,7175.0,1300.0
PARC ESTA,1,3625.0,450.0
PARC ESTA,2,5199.0,690.0
PARC ESTA,3,6500.0,1050.0
PARC HAVEN,2,3750.0,1050.0
PARC HAVEN,3,4850.0,1250.0
PARC LIFE,3,5000.0,1050.0
PARC MACKENZIE,3,5000.0,1350.0
PARC MONDRIAN,2,4300.0,950.0
PARC MONDRIAN,3,5800.0,1316.6666666666667
PARC OASIS,2,3960.0,1050.0
PARC OASIS,3,4964.285714285715,1292.857142857143
PARC OASIS,4,4750.0,1550.0
PARC OLYMPIA,1,2733.3333333333335,516.6666666666666
PARC OLYMPIA,3,4700.0,1083.3333333333333
PARC OLYMPIA,4,4900.0,1650.0
PARC PALAIS,2,3500.0,950.0
PARC PALAIS,3,4640.0,1310.0
PARC PALAIS,4,5500.0,1550.0
PARC RIVIERA,1,3400.0,450.0
PARC RIVIERA,2,4252.580645161291,691.9354838709677
PARC RIVIERA,3,5600.0,1000.0
PARC RIVIERA,4,6560.0,1150.0
PARC ROSEWOOD,1,2630.0,459.09090909090907
PARC ROSEWOOD,2,3262.5,625.0
PARC ROSEWOOD,3,3600.0,1750.0
PARC SEABREEZE,3,6500.0,1250.0
PARC SOMME,1,2550.0,450.0
PARC SOPHIA,1,3662.5,600.0
PARC STEVENS,3,7750.0,1800.0
PARC VERA,2,3400.0,800.0
PARC VERA,3,4400.0,1150.0
PARC VISTA,2,3809.090909090909,1068.1818181818182
PARC VISTA,3,3866.6666666666665,1250.0
PARK COLONIAL,1,3525.0,462.5
PARK COLONIAL,2,4605.263157894737,676.3157894736842
PARK COLONIAL,3,7177.777777777777,972.2222222222222
PARK COLONIAL,5,12600.0,1750.0
PARK EAST,3,5500.0,1610.0
PARK GREEN,3,4325.0,1350.0
PARK INFINIA AT WEE NAM,2,6500.0,1050.0
PARK INFINIA AT WEE NAM,3,8200.0,1410.0
PARK INFINIA AT WEE NAM,4,9500.0,2050.0
PARK NATURA,3,5266.666666666667,1750.0
PARK PLACE RESIDENCES AT PLQ,1,3875.0,450.0
PARK PLACE RESIDENCES AT PLQ,2,4930.0,680.0
PARK PLACE RESIDENCES AT PLQ,3,6700.0,1150.0
PARK RESIDENCES KOVAN,1,3000.0,500.0
PARKSHORE,3,6600.0,1650.0
PARKVIEW APARTMENTS,2,3600.0,950.0
PARKVIEW APARTMENTS,3,3887.5,1125.0
PARKVIEW ECLAT,3,18375.0,2850.0
PARVIS,2,6766.666666666667,1183.3333333333333
PARVIS,3,9740.0,1750.0
PARVIS,4,13400.0,2050.0
PASIR VIEW PARK,3,5600.0,1350.0
PASTORAL VIEW,1,3550.0,650.0
PATENT PLACE,2,4967.5,1250.0
PATENT PLACE,3,7050.0,1850.0
PATERSON RESIDENCE,2,5300.0,950.0
PATERSON RESIDENCE,3,7750.0,1350.0
PATERSON RESIDENCE,4,9250.0,1550.0
PAVILION 11,3,6766.666666666667,1450.0
PAYA LEBAR RESIDENCES,3,4200.0,1250.0
PEACH GARDEN,4,7062.5,2750.0
PEBBLE BAY,1,3966.6666666666665,950.0
PEBBLE BAY,2,6150.0,1350.0
PEBBLE BAY,3,8764.285714285714,2064.285714285714
PEBBLE BAY,4,14750.0,2825.0
PEIRCE VIEW,1,3100.0,750.0
PEOPLE'S PARK COMPLEX,1,2380.0,450.0
PEOPLE'S PARK COMPLEX,3,5520.0,1150.0
PERMAI RESIDENCES,3,6250.0,1400.0
PETIT JERVOIS,1,5716.666666666667,650.0
PETIT JERVOIS,2,7002.4,950.0
PINETREE CONDOMINIUM,3,4100.0,1250.0
PINEVALE,3,4850.0,1400.0
PINNACLE 16,1,3450.0,550.0
PINNACLE 16,3,5800.0,1350.0
PLATINUM EDGE,2,3700.0,750.0
POINT LOMA,4,7300.0,2450.0
POLLEN & BLEU,1,4050.0,650.0
POLLEN & BLEU,4,8000.0,1450.0
POSHGROVE EAST,4,8800.0,2250.0
PRESTIGE HEIGHTS,1,2983.3333333333335,450.0
PRESTIGE HEIGHTS,2,3800.0,550.0
PRESTIGE HEIGHTS,3,4300.0,850.0
PRESTIGE POINT,2,2600.0,750.0
PRESTIGE RESIDENCE,3,4000.0,950.0
PRESTO@UPPER SERANGOON,1,2600.0,450.0
PRESTO@UPPER SERANGOON,2,3325.0,850.0
PRIME RESIDENCE,1,2800.0,416.6666666666667
PRIMEDGE,1,3200.0,450.0
PRIMEDGE,2,3100.0,550.0
PRIMO RESIDENCES,1,2700.0,500.0
PRIMO RESIDENCES,2,4100.0,950.0
PRINCIPAL GARDEN,1,3858.3333333333335,450.0
PRINCIPAL GARDEN,2,5183.333333333333,783.3333333333334
PRINCIPAL GARDEN,3,7140.0,1130.0
PRINCIPAL GARDEN,4,10125.0,1550.0
PRIVE,2,3450.0,800.0
PRIVE,3,4500.0,1050.0
PROSPERO VILLE,3,4500.0,1050.0
Q BAY RESIDENCES,1,3000.0,650.0
Q BAY RESIDENCES,2,3475.0,825.0
Q BAY RESIDENCES,3,4550.0,1200.0
QUEENS,2,4896.666666666667,950.0
QUEENS,3,6038.461538461538,1188.4615384615386
QUEENS,4,7300.0,1450.0
QUEENS PEAK,1,3996.3636363636365,450.0
QUEENS PEAK,2,4960.0,690.0
QUEENS PEAK,3,6433.333333333333,1016.6666666666666
QUEENSWAY TOWER,1,3550.0,950.0
QUEENSWAY TOWER,2,4200.0,1450.0
QUESTA @ DUNMAN,1,3400.0,550.0
QUINTERRA,2,4800.0,1150.0
QUINTERRA,3,6000.0,1450.0
R MAISON,1,2700.0,550.0
R66 APARTMENTS,1,4200.0,550.0
R66 APARTMENTS,2,4600.0,1150.0
RACE COURSE 138,1,3000.0,450.0
RAFFLESIA CONDOMINIUM,3,5350.0,1250.0
RANGOON 88,1,3033.3333333333335,550.0
RANGOON 88,2,4000.0,1050.0
REFLECTIONS AT KEPPEL BAY,2,5912.5,1016.6666666666666
REFLECTIONS AT KEPPEL BAY,3,9126.666666666666,1723.3333333333333
REFLECTIONS AT KEPPEL BAY,4,17540.0,2780.0
REGAL 35,3,4850.0,1200.0
REGENCY PARK,3,13100.0,2812.5
REGENCY SUITES,2,5400.0,950.0
REGENCY SUITES,3,7500.0,1450.0
REGENT GROVE,3,4200.0,1150.0
REGENT GROVE,4,4350.0,1300.0
REGENT HEIGHTS,2,4150.0,1050.0
REGENT HEIGHTS,3,4500.0,1150.0
REGENT PARK,2,4037.5,900.0
REGENT PARK,3,4325.0,1200.0
REGENT RESIDENCES,1,3010.0,450.0
REGENT RESIDENCES,2,3900.0,800.0
REGENTVILLE,2,3733.3333333333335,950.0
REGENTVILLE,3,4100.0,1150.0
REIGNWOOD HAMILTON SCOTTS,3,17100.0,2750.0
RESIDENCE 66,2,4200.0,850.0
RESIDENCES @ EVELYN,2,6150.0,1100.0
RESIDENCES @ EVELYN,3,7200.0,1550.0
RESIDENCES @ EVELYN,4,9600.0,2250.0
RESIDENCES @ KILLINEY,3,9000.0,1550.0
RESIDENCES AT EMERALD HILL,3,8016.0,1650.0
RESIDENCES BOTANIQUE,2,3650.0,850.0
RESIDENCES BOTANIQUE,3,4300.0,1150.0
REZI 24,1,3450.0,500.0
REZI 24,2,3950.0,600.0
REZI 24,3,5800.0,950.0
REZI 26,1,2800.0,450.0
REZI 26,3,5800.0,1350.0
REZI 35,2,4300.0,650.0
RICCHEZZA,1,3200.0,550.0
RICHMOND PARK,1,7500.0,1050.0
RICHMOND PARK,2,6100.0,1250.0
RICHMOND PARK,3,9200.0,1750.0
RIDGEWOOD,2,3800.0,1250.0
RIDGEWOOD,3,5585.0,1690.0
RIDGEWOOD,4,7425.0,2237.5
RIO VISTA,2,3500.0,1050.0
RIO VISTA,3,4200.0,1250.0
RIO VISTA,4,6300.0,1750.0
RIPPLE BAY,1,2833.3333333333335,483.3333333333333
RIPPLE BAY,2,3781.25,825.0
RIPPLE BAY,3,4325.0,1050.0
RIPPLE BAY,4,4000.0,1250.0
RIS GRANDEUR,2,3500.0,1050.0
RIS GRANDEUR,3,4000.0,1300.0
RITZ @ FARRER,1,4000.0,550.0
RITZ MANSIONS,2,3000.0,850.0
RIVER ISLES,2,2800.0,750.0
RIVER ISLES,3,3925.0,1150.0
RIVER ISLES,4,4575.0,1250.0
RIVER PLACE,1,4355.0,820.0
RIVER PLACE,2,5883.333333333333,1183.3333333333333
RIVER PLACE,3,7283.333333333333,1450.0
RIVER PLACE,4,9100.0,>3000
RIVER VALLEY COURT,2,4600.0,1150.0
RIVERBANK @ FERNVALE,1,2500.0,450.0
RIVERBANK @ FERNVALE,2,3550.0,750.0
RIVERBAY,2,3225.0,700.0
RIVERCOVE RESIDENCES,3,4250.0,950.0
RIVERCOVE RESIDENCES,4,5000.0,1250.0
RIVERDALE RESIDENCE,2,5100.0,1150.0
RIVEREDGE,2,5000.0,950.0
RIVEREDGE,3,5800.0,1350.0
RIVERGATE,2,7333.333333333333,1050.0
RIVERGATE,3,10487.5,1606.25
RIVERGATE,4,13336.363636363636,1940.909090909091
RIVERIA GARDENS,3,8750.0,1450.0
RIVERPARC RESIDENCE,3,4100.0,1250.0
RIVERSAILS,1,3200.0,550.0
RIVERSAILS,2,3833.3333333333335,883.3333333333334
RIVERSAILS,3,4666.666666666667,1150.0
RIVERSHIRE,3,6290.0,1490.0
RIVERSOUND RESIDENCE,2,3200.0,750.0
RIVERSOUND RESIDENCE,3,4175.0,1000.0
RIVERSOUND RESIDENCE,4,4800.0,1250.0
RIVERTREES RESIDENCES,2,3500.0,675.0
RIVERTREES RESIDENCES,3,4175.0,1050.0
RIVERVALE CREST,1,3566.6666666666665,950.0
RIVERVALE CREST,3,3825.0,1150.0
RIVERWALK APARTMENTS,2,6083.333333333333,1250.0
RIVIERA 38,1,2750.0,450.0
RIVIERA 38,3,4000.0,1150.0
RIVIERA RESIDENCES,3,5000.0,1250.0
RIVIERE,1,5270.0,550.0
RIVIERE,2,6550.0,850.0
RIVIERE,3,10303.846153846154,1311.5384615384614
RIVIERE,4,19000.0,2050.0
RIZ HAVEN,3,4300.0,1050.0
ROBERTSON 100,2,5425.0,875.0
ROBERTSON 100,3,6650.0,1450.0
ROBERTSON EDGE,1,3700.0,450.0
ROBERTSON EDGE,2,3925.0,500.0
ROBIN REGALIA,2,4650.0,1050.0
ROBIN RESIDENCES,2,3950.0,550.0
ROBIN RESIDENCES,3,5800.0,1050.0
ROBIN RESIDENCES,4,9500.0,1450.0
ROBIN SUITES,1,4294.333333333333,683.3333333333334
ROBIN SUITES,2,3700.0,550.0
ROBINSON SUITES,1,3900.0,483.3333333333333
ROBINSON SUITES,2,4550.0,650.0
ROCHELLE AT NEWTON,4,9000.0,1850.0
ROOTS @ TRANSIT,1,2900.0,450.0
ROSALIA PARK,2,4500.0,1150.0
ROSALIA PARK,3,3000.0,1450.0
ROSEWOOD,2,3900.0,1050.0
ROSEWOOD,3,3875.0,1150.0
ROSEWOOD SUITES,2,2700.0,650.0
ROSEWOOD SUITES,3,4400.0,1400.0
ROSEWOOD SUITES,4,8300.0,2750.0
ROXY SQUARE,2,3500.0,1250.0
ROYALGREEN,2,5064.285714285715,764.2857142857143
ROYALGREEN,3,7366.666666666667,1016.6666666666666
RV EDGE,1,3550.0,400.0
RV POINT,1,3250.0,400.0
RV RESIDENCES,1,3733.3333333333335,450.0
RV RESIDENCES,2,5030.0,770.0
RV RESIDENCES,3,5833.333333333333,850.0
RV SUITES,1,3580.0,530.0
RV SUITES,2,5200.0,1050.0
SAGE,4,20000.0,2850.0
SAM KIANG MANSIONS,3,4866.666666666667,1250.0
SANCTUARY @ 813,2,3550.0,750.0
SANCTUARY GREEN,2,5066.666666666667,1016.6666666666666
SANCTUARY GREEN,3,5850.0,1283.3333333333333
SANCTUARY GREEN,4,8000.0,1850.0
SANDY EIGHT,2,4200.0,750.0
SANT RITZ,1,3300.0,550.0
SANT RITZ,2,3900.0,650.0
SANT RITZ,3,5216.666666666667,1183.3333333333333
SANTA FE MANSIONS,3,3900.0,1050.0
SAPPHIRE 99,2,4400.0,950.0
SARKIES MANSIONS,2,5500.0,1650.0
SAVANNAH CONDOPARK,3,4676.666666666667,1250.0
SAVANNAH CONDOPARK,4,6800.0,2350.0
SCOTTS 28,1,5200.0,1050.0
SCOTTS 28,3,9000.0,1850.0
SCOTTS HIGHPARK,2,6100.0,1150.0
SCOTTS HIGHPARK,4,19000.0,>3000
SCOTTS SQUARE,1,5581.25,650.0
SCOTTS SQUARE,2,7528.571428571428,921.4285714285714
SCOTTS SQUARE,3,9300.0,1250.0
SCULPTURA ARDMORE,4,45000.0,2850.0
SEA ESTA,1,3000.0,550.0
SEA ESTA,2,3400.0,750.0
SEA ESTA,3,4550.0,1116.6666666666667
SEA HORIZON,2,3650.0,750.0
SEA HORIZON,3,4444.0,1150.0
SEA HORIZON,4,5000.0,1350.0
SEA HORIZON,5,4700.0,1550.0
SEAHILL,1,3600.0,616.6666666666666
SEAHILL,2,4825.0,825.0
SEAHILL,3,6366.666666666667,1216.6666666666667
SEASCAPE,3,12250.0,2150.0
SEASCAPE,4,16500.0,2650.0
SEASIDE RESIDENCES,1,3699.3333333333335,536.6666666666666
SEASIDE RESIDENCES,2,4800.0,750.0
SEASIDE RESIDENCES,3,7140.0,1150.0
SEASIDE RESIDENCES,4,11000.0,1750.0
SEASONS VIEW,2,3675.0,950.0
SEASONS VIEW,3,4133.333333333333,1150.0
SEASTRAND,2,3300.0,850.0
SEASTRAND,3,4350.0,1200.0
SEASUITES,2,4000.0,750.0
SEAVIEW POINT,3,5100.0,1350.0
SELANTING GREEN,3,4200.0,1450.0
SELETAR PARK RESIDENCE,1,3200.0,650.0
SELETAR PARK RESIDENCE,2,4066.6666666666665,1216.6666666666667
SELETARIS,4,6000.0,1650.0
SENNETT RESIDENCE,1,3583.3333333333335,550.0
SENNETT RESIDENCE,2,4000.0,850.0
SENNETT RESIDENCE,3,5700.0,1083.3333333333333
SENNETT RESIDENCE,4,6400.0,1350.0
SERAYA 9,2,4550.0,850.0
SERAYA BREEZE,2,3400.0,750.0
SERENITY PARK,3,3783.3333333333335,1350.0
SETIA RESIDENCES,4,18000.0,>3000
SEVENTY SAINT PATRICK'S,2,4416.666666666667,833.3333333333334
SEVENTY SAINT PATRICK'S,4,7800.0,1650.0
SHANGRI-LA RESIDENCES,4,12652.0,2250.0
SHAW PLAZA - TWIN HEIGHTS,3,5200.0,1450.0
SHEARES VILLE,3,7000.0,1350.0
SHELFORD 23,2,3750.0,1050.0
SHELFORD GREEN,3,9650.0,2850.0
SHELFORD GREEN,5,10500.0,>3000
SHELFORD VIEW,2,9600.0,2650.0
SHIRO,1,2800.0,450.0
SIGLAP V,1,2625.0,550.0
SIGLAP V,2,3280.0,850.0
SIGNATURE AT YISHUN,3,4400.0,1050.0
SIGNATURE PARK,2,3611.1111111111113,1050.0
SIGNATURE PARK,3,4416.666666666667,1416.6666666666667
SIGNATURE PARK,4,5650.0,1750.0
SILVERSCAPE,1,2550.0,450.0
SILVERSEA,2,6125.0,950.0
SILVERSEA,3,8625.0,1625.0
SILVERSEA,4,13400.0,2500.0
SIMEI GREEN CONDOMINIUM,3,3460.0,1010.0
SIMS DORADO,2,3300.0,850.0
SIMS EDGE,1,3100.0,450.0
SIMS EDGE,2,3100.0,450.0
SIMS GREEN,3,5000.0,2050.0
SIMS RESIDENCES,3,4200.0,1450.0
SIMS URBAN OASIS,1,3205.0,450.0
SIMS URBAN OASIS,2,4188.461538461538,673.0769230769231
SIMS URBAN OASIS,3,6268.75,1000.0
SIMSVILLE,2,3875.0,950.0
SIMSVILLE,3,4850.0,1250.0
SIN MING CENTRE,1,3075.0,650.0
SIN MING CENTRE,2,3325.0,1050.0
SIN THAI HIN BUILDING,3,5850.0,1750.0
SINGA HILLS,2,2800.0,650.0
SIXTEEN35 RESIDENCES,1,3090.0,450.0
SIXTH AVENUE VILLE,3,5800.0,1250.0
SIXTH AVENUE VILLE,4,8000.0,1950.0
SKIES MILTONIA,1,2700.0,483.3333333333333
SKIES MILTONIA,2,3412.5,750.0
SKIES MILTONIA,3,5233.333333333333,1783.3333333333333
SKY GREEN,1,3266.6666666666665,450.0
SKY GREEN,2,3775.0,700.0
SKY GREEN,3,4800.0,1150.0
SKY HABITAT,1,3900.0,750.0
SKY HABITAT,2,5025.0,1100.0
SKY HABITAT,3,7166.666666666667,1350.0
SKY VUE,1,3480.0,450.0
SKY VUE,2,4390.625,712.5
SKY@ELEVEN,3,9250.0,1850.0
SKY@ELEVEN,4,12027.272727272728,2586.3636363636365
SKYLINE 360 @ SAINT THOMAS WALK,4,15000.0,2150.0
SKYLINE @ ORCHARD BOULEVARD,2,12200.0,1750.0
SKYLINE @ ORCHARD BOULEVARD,3,16944.0,2050.0
SKYLINE RESIDENCES,1,3566.6666666666665,450.0
SKYLINE RESIDENCES,2,4966.666666666667,850.0
SKYLINE RESIDENCES,3,7480.0,1290.0
SKYLINE RESIDENCES,4,9800.0,1750.0
SKYPARK RESIDENCES,3,5200.0,1250.0
SKYSUITES17,1,2766.6666666666665,350.0
SKYSUITES17,2,4000.0,650.0
SKYSUITES@ANSON,1,4000.0,350.0
SKYSUITES@ANSON,2,5600.0,650.0
SKYSUITES@ANSON,3,7750.0,1050.0
SLOANE RESIDENCES,2,7000.0,750.0
SMART SUITES,1,2825.0,450.0
SOHO 188,1,3133.3333333333335,516.6666666666666
SOHO 188,2,3900.0,550.0
SOL ACRES,3,4200.0,1050.0
SOLEIL @ SINARAN,2,6814.285714285715,1164.2857142857142
SOLEIL @ SINARAN,3,10000.0,1450.0
SOLEIL @ SINARAN,4,12500.0,1750.0
SOMMERVILLE GRANDEUR,2,4605.0,1150.0
SOMMERVILLE GRANDEUR,3,7000.0,1850.0
SOMMERVILLE PARK,1,3020.0,650.0
SOMMERVILLE PARK,3,8742.857142857143,2035.7142857142858
SONG LANG GREEN,3,4800.0,1250.0
SOPHIA FLATS,1,3300.0,450.0
SOPHIA HILLS,1,3631.25,537.5
SOPHIA HILLS,2,4218.181818181818,686.3636363636364
SOPHIA HILLS,3,7750.0,1200.0
SOPHIA HILLS,4,8600.0,1550.0
SOPHIA LODGE,3,5060.0,990.0
SOPHIA RESIDENCE,3,7420.0,1630.0
SOPHIA RESIDENCE,4,9500.0,1850.0
SOUTHAVEN II,2,4000.0,1050.0
SOUTHAVEN II,3,4750.0,1550.0
SOUTHBANK,1,4160.0,590.0
SOUTHBANK,2,5350.0,950.0
SPACE @ KOVAN,1,3025.0,500.0
SPACE @ KOVAN,2,3500.0,864.2857142857143
SPACE @ KOVAN,3,4133.333333333333,1116.6666666666667
SPANISH VILLAGE,1,3350.0,650.0
SPANISH VILLAGE,3,5375.0,1700.0
SPAZIO @ KOVAN,2,3350.0,550.0
SPOTTISWOODE 18,1,3412.5,433.3333333333333
SPOTTISWOODE 18,2,4137.5,650.0
SPOTTISWOODE RESIDENCES,1,4144.0,635.7142857142857
SPOTTISWOODE RESIDENCES,2,5500.0,883.3333333333334
SPOTTISWOODE RESIDENCES,3,7800.0,1450.0
SPOTTISWOODE SUITES,1,3475.0,450.0
SPOTTISWOODE SUITES,2,4350.0,616.6666666666666
SPOTTISWOODE SUITES,3,5716.666666666667,950.0
SPRING @ KATONG,2,5000.0,1050.0
SPRING GROVE,2,5486.0,1050.0
SPRING GROVE,3,6783.333333333333,1400.0
SPRING GROVE,4,7200.0,1750.0
SPRING RESIDENCES,3,6590.0,1450.0
SPRINGDALE CONDOMINIUM,2,3675.0,950.0
SPRINGDALE CONDOMINIUM,3,4360.0,1150.0
SPRINGVALE,2,3500.0,950.0
SPRINGVALE,3,4350.0,1150.0
ST MARTIN RESIDENCE,3,11000.0,2850.0
ST MICHAEL'S CONDOMINIUM,4,4350.0,1550.0
ST MICHAEL'S PLACE,3,4700.0,1250.0
ST REGIS RESIDENCES SINGAPORE,4,18028.571428571428,2514.285714285714
ST THOMAS SUITES,3,10500.0,1850.0
ST THOMAS SUITES,4,14066.666666666666,2250.0
ST THOMAS SUITES,5,53000.0,>3000
ST THOMAS VILLE,3,5150.0,1150.0
STARLIGHT SUITES,1,4775.0,725.0
STARS OF KOVAN,1,3150.0,550.0
STARS OF KOVAN,2,4028.5714285714284,750.0
STARVILLE,3,4366.666666666667,1250.0
STELLAR RV,1,3550.0,450.0
STELLAR RV,2,3800.0,650.0
STEVENS LOFT,2,5700.0,1150.0
STEVENS SUITES,3,6400.0,1150.0
STIRLING RESIDENCES,1,4070.8333333333335,483.3333333333333
STIRLING RESIDENCES,2,5076.190476190476,664.2857142857143
STIRLING RESIDENCES,3,6875.0,925.0
STRATFORD COURT,2,3650.0,950.0
STRATFORD COURT,3,3800.0,1250.0
STRATFORD COURT,4,5800.0,1550.0
STRATUM,1,3025.0,550.0
STRATUM,2,3850.0,770.0
STRATUM,3,4250.0,1050.0
STUDIO 3,1,3600.0,550.0
STUDIOS@TEMBELING,1,2600.0,350.0
STUDIOS@TEMBELING,2,3100.0,450.0
STURDEE RESIDENCES,1,3562.5,450.0
STURDEE RESIDENCES,2,4435.0,600.0
STURDEE RESIDENCES,3,6019.5,850.0
SUFFOLK PREMIER,3,5000.0,1050.0
SUI GENERIS,3,8000.0,1750.0
SUI GENERIS,4,13250.0,2150.0
SUITES 28,1,2550.0,700.0
SUITES @ AMBER,3,4800.0,950.0
SUITES @ CAIRNHILL,2,7300.0,1150.0
SUITES @ CAIRNHILL,4,10500.0,1850.0
SUITES @ EASTCOAST,1,3000.0,350.0
SUITES @ EASTCOAST,2,2925.0,550.0
SUITES @ EUNOS,1,2700.0,350.0
SUITES @ EUNOS,2,4250.0,1150.0
SUITES @ GUILLEMARD,1,2516.6666666666665,483.3333333333333
SUITES @ GUILLEMARD,2,3200.0,850.0
SUITES @ KOVAN,1,2200.0,350.0
SUITES @ PAYA LEBAR,1,2850.0,450.0
SUITES @ SHREWSBURY,1,2600.0,350.0
SUITES @ SIMS,1,2200.0,350.0
SUITES @ SIMS,2,3900.0,550.0
SUITES @ SOPHIA,1,3200.0,1750.0
SUITES AT BUKIT TIMAH,2,3400.0,550.0
SUITES AT ORCHARD,1,4800.0,600.0
SUITES AT ORCHARD,2,6250.0,850.0
SUITES AT ORCHARD,3,7800.0,1550.0
SUITES DE LAUREL,1,3100.0,550.0
SUITES DE LAUREL,2,3800.0,1050.0
SUITES TWENTY-TWO,3,4000.0,1050.0
SUITES@ KATONG,1,3000.0,650.0
SUITES@BRADDELL,1,2650.0,350.0
SUITES@BRADDELL,2,3400.0,850.0
SUITES@CHANGI,1,2700.0,450.0
SUMMERDALE,3,4815.0,1350.0
SUMMERHILL,2,3900.0,950.0
SUMMERHILL,3,4100.0,1250.0
SUMMERHILL,4,5633.333333333333,1616.6666666666667
SUN PLAZA,3,3900.0,1350.0
SUNFLOWER VIEW,3,4200.0,1050.0
SUNGLADE,2,4133.333333333333,983.3333333333334
SUNGLADE,3,4900.0,1183.3333333333333
SUNHAVEN,2,3075.0,950.0
SUNHAVEN,3,4233.333333333333,1250.0
SUNNY PALMS,3,4500.0,1050.0
SUNRISE GARDENS,2,3800.0,1050.0
SUNRISE GARDENS,4,4800.0,1750.0
SUNSHINE PLAZA,1,3500.0,550.0
SUNSHINE PLAZA,2,4750.0,750.0
SUNSHINE PLAZA,3,6200.0,1150.0
SUNSTONE RESIDENCES,2,3000.0,750.0
SUNVILLE,3,4112.5,1150.0
SYCAMORE TREE,1,3183.3333333333335,383.3333333333333
SYCAMORE TREE,3,4150.0,850.0
SYMPHONY HEIGHTS,2,3916.6666666666665,950.0
SYMPHONY HEIGHTS,3,4757.142857142857,1450.0
SYMPHONY SUITES,2,3280.0,650.0
SYMPHONY SUITES,3,3892.8571428571427,835.7142857142857
SYMPHONY SUITES,4,4200.0,1050.0
TAN CHIN TUAN MANSION,4,24000.0,>3000
TAN TONG MENG TOWER,4,5750.0,>3000
TANAH MERAH MANSION,2,3416.6666666666665,850.0
TANAMERA CREST,3,4080.0,1170.0
TANGERINE GROVE,2,3900.0,950.0
TANGLIN HILL CONDOMINIUM,4,9750.0,2550.0
TANGLIN PARK,3,7434.615384615385,1542.3076923076924
TANGLIN PARK,4,9366.666666666666,1950.0
TANGLIN REGENCY,2,4425.0,850.0
TANGLIN REGENCY,3,6133.333333333333,1150.0
TANGLIN VIEW,2,5050.0,1000.0
TANGLIN VIEW,3,5866.666666666667,1183.3333333333333
TANGLIN VIEW,4,9600.0,2250.0
TANJONG PAGAR COMPLEX,3,3592.0,1650.0
TANJONG RIA CONDOMINIUM,1,2900.0,650.0
TANJONG RIA CONDOMINIUM,2,4000.0,850.0
TANJONG RIA CONDOMINIUM,3,5050.0,1275.0
TEN @ SUFFOLK,2,5000.0,1050.0
TERESA VILLE,2,5300.0,1350.0
TERESA VILLE,3,5966.666666666667,1950.0
TERRASSE,1,3100.0,600.0
TERRASSE,2,3725.0,775.0
TERRASSE,3,4925.0,1200.0
TERRASSE,4,7150.0,1650.0
TERRENE AT BUKIT TIMAH,2,4550.0,1025.0
TERRENE AT BUKIT TIMAH,3,5150.0,1200.0
TEXTILE CENTRE,2,4950.0,900.0
THE ABERDEEN,3,4500.0,1350.0
THE ACACIAS,2,3700.0,1050.0
THE ACACIAS,3,4500.0,1350.0
THE ALCOVE,2,4300.0,1050.0
THE ALCOVE,3,4000.0,1250.0
THE ALPS RESIDENCES,1,3000.0,512.5
THE ALPS RESIDENCES,2,3575.0,650.0
THE ALPS RESIDENCES,3,4666.666666666667,983.3333333333334
THE AMARELLE,1,3450.0,550.0
THE AMARELLE,2,4100.0,950.0
THE AMORE,3,4075.0,950.0
THE ANCHORAGE,1,3725.0,900.0
THE ANCHORAGE,2,5166.666666666667,1183.3333333333333
THE ANCHORAGE,3,6221.428571428572,1664.2857142857142
THE ANCHORAGE,4,6900.0,2050.0
THE ANTARES,1,3650.0,550.0
THE ANTARES,2,4494.444444444444,694.4444444444445
